Tanggal,Gerai,Harga Jual (Rp),Jumlah Terjual (Unit),Pendapatan Kotor (Rp),Biaya Variabel (Rp),Fixed Cost Harian (Rp),Balance (Rp)
2026-03-07,Gerai B,8000,704,5632000,2928640,733333,1970027
2026-03-08,Gerai B,8000,638,5104000,2654080,733333,1716587
2026-03-09,Gerai B,8000,525,4200000,2184000,733333,1282667
2026-03-10,Gerai B,8000,502,4016000,2088320,733333,1194347
2026-03-11,Gerai B,8000,509,4072000,2117440,733333,1221227
2026-03-12,Gerai B,8000,517,4136000,2150720,733333,1251947
2026-03-13,Gerai B,8000,491,3928000,2042560,733333,1152107
2026-03-14,Gerai B,8000,637,5096000,2649920,733333,1712747
2026-03-15,Gerai B,8000,609,4872000,2533440,733333,1605227
2026-03-16,Gerai B,8000,546,4368000,2271360,733333,1363307
2026-03-17,Gerai B,8000,513,4104000,2134080,733333,1236587
2026-03-18,Gerai B,8000,513,4104000,2134080,733333,1236587
2026-03-19,Gerai B,8000,565,4520000,2350400,733333,1436267
2026-03-20,Gerai B,8000,534,4272000,2221440,733333,1317227
2026-03-21,Gerai B,8000,645,5160000,2683200,733333,1743467
2026-03-22,Gerai B,8000,643,5144000,2674880,733333,1735787
2026-03-23,Gerai B,8000,546,4368000,2271360,733333,1363307
2026-03-24,Gerai B,8000,500,4000000,2080000,733333,1186667
2026-03-25,Gerai B,8000,534,4272000,2221440,733333,1317227
2026-03-26,Gerai B,8000,506,4048000,2104960,733333,1209707
2026-03-27,Gerai B,8000,538,4304000,2238080,733333,1332587
2026-03-28,Gerai B,8000,710,5680000,2953600,733333,1993067
2026-03-29,Gerai B,8000,680,5440000,2828800,733333,1877867
2026-03-30,Gerai B,8000,490,3920000,2038400,733333,1148267
2026-03-31,Gerai B,8000,530,4240000,2204800,733333,1301867
2026-01-01,Gerai C,11000,381,4191000,1844040,1733333,613627
2026-01-02,Gerai C,11000,380,4180000,1839200,1733333,607467
2026-01-03,Gerai C,11000,462,5082000,2236080,1733333,1112587
2026-01-04,Gerai C,11000,471,5181000,2279640,1733333,1168027
2026-01-05,Gerai C,11000,418,4598000,2023120,1733333,841547
2026-01-06,Gerai C,11000,386,4246000,1868240,1733333,644427
2026-01-07,Gerai C,11000,365,4015000,1766600,1733333,515067
2026-01-08,Gerai C,11000,417,4587000,2018280,1733333,835387
2026-01-09,Gerai C,11000,409,4499000,1979560,1733333,786107
2026-01-10,Gerai C,11000,492,5412000,2381280,1733333,1297387
2026-01-11,Gerai C,11000,496,5456000,2400640,1733333,1322027
2026-01-12,Gerai C,11000,366,4026000,1771440,1733333,521227
2026-01-13,Gerai C,11000,419,4609000,2027960,1733333,847707
2026-01-14,Gerai C,11000,406,4466000,1965040,1733333,767627
2026-01-15,Gerai C,11000,392,4312000,1897280,1733333,681387
2026-01-16,Gerai C,11000,374,4114000,1810160,1733333,570507
2026-01-17,Gerai C,11000,522,5742000,2526480,1733333,1482187
2026-01-18,Gerai C,11000,457,5027000,2211880,1733333,1081787
2026-01-19,Gerai C,11000,387,4257000,1873080,1733333,650587
2026-01-20,Gerai C,11000,393,4323000,1902120,1733333,687547
2026-01-21,Gerai C,11000,410,4510000,1984400,1733333,792267
2026-01-22,Gerai C,11000,403,4433000,1950520,1733333,749147
2026-01-23,Gerai C,11000,424,4664000,2052160,1733333,878507
2026-01-24,Gerai C,11000,501,5511000,2424840,1733333,1352827
2026-01-25,Gerai C,11000,481,5291000,2328040,1733333,1229627
2026-01-26,Gerai C,11000,373,4103000,1805320,1733333,564347
2026-01-27,Gerai C,11000,376,4136000,1819840,1733333,582827
2026-01-28,Gerai C,11000,368,4048000,1781120,1733333,533547
2026-01-29,Gerai C,11000,383,4213000,1853720,1733333,625947
2026-01-30,Gerai C,11000,368,4048000,1781120,1733333,533547
2026-01-31,Gerai C,11000,352,3872000,1703680,1733333,434987
2026-02-01,Gerai C,11000,387,4257000,1873080,1733333,650587
2026-02-02,Gerai C,11000,286,3146000,1384240,1733333,28427
2026-02-03,Gerai C,11000,301,3311000,1456840,1733333,120827
2026-02-04,Gerai C,11000,293,3223000,1418120,1733333,71547
2026-02-05,Gerai C,11000,312,3432000,1510080,1733333,188587
2026-02-06,Gerai C,11000,291,3201000,1408440,1733333,59227
2026-02-07,Gerai C,11000,396,4356000,1916640,1733333,706027
2026-02-08,Gerai C,11000,385,4235000,1863400,1733333,638267
2026-02-09,Gerai C,11000,302,3322000,1461680,1733333,126987
2026-02-10,Gerai C,11000,279,3069000,1350360,1733333,-14693
2026-02-11,Gerai C,11000,308,3388000,1490720,1733333,163947
2026-02-12,Gerai C,11000,279,3069000,1350360,1733333,-14693
2026-02-13,Gerai C,11000,280,3080000,1355200,1733333,-8533
2026-02-14,Gerai C,11000,339,3729000,1640760,1733333,354907
2026-02-15,Gerai C,11000,360,3960000,1742400,1733333,484267
2026-02-16,Gerai C,11000,287,3157000,1389080,1733333,34587
2026-02-17,Gerai C,11000,286,3146000,1384240,1733333,28427
2026-02-18,Gerai C,11000,294,3234000,1422960,1733333,77707
2026-02-19,Gerai C,11000,284,3124000,1374560,1733333,16107
2026-02-20,Gerai C,11000,283,3113000,1369720,1733333,9947
2026-02-21,Gerai C,11000,347,3817000,1679480,1733333,404187
2026-02-22,Gerai C,11000,345,3795000,1669800,1733333,391867
2026-02-23,Gerai C,11000,274,3014000,1326160,1733333,-45493
2026-02-24,Gerai C,11000,277,3047000,1340680,1733333,-27013
2026-02-25,Gerai C,11000,294,3234000,1422960,1733333,77707
2026-02-26,Gerai C,11000,306,3366000,1481040,1733333,151627
2026-02-27,Gerai C,11000,268,2948000,1297120,1733333,-82453
2026-02-28,Gerai C,11000,367,4037000,1776280,1733333,527387
2026-03-01,Gerai C,11000,378,4158000,1829520,1733333,595147
2026-03-02,Gerai C,11000,243,2673000,1176120,1733333,-236453
2026-03-03,Gerai C,11000,243,2673000,1176120,1733333,-236453
2026-03-04,Gerai C,11000,243,2673000,1176120,1733333,-236453
2026-03-05,Gerai C,11000,257,2827000,1243880,1733333,-150213
2026-03-06,Gerai C,11000,226,2486000,1093840,1733333,-341173
2026-03-07,Gerai C,11000,316,3476000,1529440,1733333,213227
2026-03-08,Gerai C,11000,290,3190000,1403600,1733333,53067
2026-03-09,Gerai C,11000,222,2442000,1074480,1733333,-365813
2026-03-10,Gerai C,11000,220,2420000,1064800,1733333,-378133
2026-03-11,Gerai C,11000,222,2442000,1074480,1733333,-365813
2026-03-12,Gerai C,11000,246,2706000,1190640,1733333,-217973
2026-03-13,Gerai C,11000,235,2585000,1137400,1733333,-285733
2026-03-14,Gerai C,11000,292,3212000,1413280,1733333,65387
2026-03-15,Gerai C,11000,325,3575000,1573000,1733333,268667
2026-03-16,Gerai C,11000,237,2607000,1147080,1733333,-273413
2026-03-17,Gerai C,11000,254,2794000,1229360,1733333,-168693
2026-03-18,Gerai C,11000,244,2684000,1180960,1733333,-230293
2026-03-19,Gerai C,11000,243,2673000,1176120,1733333,-236453
2026-03-20,Gerai C,11000,242,2662000,1171280,1733333,-242613
2026-03-21,Gerai C,11000,298,3278000,1442320,1733333,102347
2026-03-22,Gerai C,11000,304,3344000,1471360,1733333,139307
2026-03-23,Gerai C,11000,238,2618000,1151920,1733333,-267253
2026-03-24,Gerai C,11000,255,2805000,1234200,1733333,-162533
2026-03-25,Gerai C,11000,228,2508000,1103520,1733333,-328853
2026-03-26,Gerai C,11000,244,2684000,1180960,1733333,-230293
2026-03-27,Gerai C,11000,243,2673000,1176120,1733333,-236453
2026-03-28,Gerai C,11000,301,3311000,1456840,1733333,120827
2026-03-29,Gerai C,11000,304,3344000,1471360,1733333,139307
2026-03-30,Gerai C,11000,229,2519000,1108360,1733333,-322693
2026-03-31,Gerai C,11000,240,2640000,1161600,1733333,-254933
2026-01-01,Gerai D,20000,110,2200000,792000,2666666,-1258666
2026-01-02,Gerai D,20000,108,2160000,777600,2666666,-1284266
2026-01-03,Gerai D,20000,143,2860000,1029600,2666666,-836266
2026-01-04,Gerai D,20000,145,2900000,1044000,2666666,-810666
2026-01-05,Gerai D,20000,106,2120000,763200,2666666,-1309866
2026-01-06,Gerai D,20000,109,2180000,784800,2666666,-1271466
2026-01-07,Gerai D,20000,114,2280000,820800,2666666,-1207466
2026-01-08,Gerai D,20000,112,2240000,806400,2666666,-1233066
2026-01-09,Gerai D,20000,116,2320000,835200,2666666,-1181866
2026-01-10,Gerai D,20000,140,2800000,1008000,2666666,-874666
2026-01-11,Gerai D,20000,130,2600000,936000,2666666,-1002666
2026-01-12,Gerai D,20000,103,2060000,741600,2666666,-1348266
2026-01-13,Gerai D,20000,110,2200000,792000,2666666,-1258666
2026-01-14,Gerai D,20000,111,2220000,799200,2666666,-1245866
2026-01-15,Gerai D,20000,110,2200000,792000,2666666,-1258666
2026-01-16,Gerai D,20000,110,2200000,792000,2666666,-1258666
2026-01-17,Gerai D,20000,139,2780000,1000800,2666666,-887466
2026-01-18,Gerai D,20000,141,2820000,1015200,2666666,-861866
2026-01-19,Gerai D,20000,103,2060000,741600,2666666,-1348266
2026-01-20,Gerai D,20000,114,2280000,820800,2666666,-1207466
2026-01-21,Gerai D,20000,108,2160000,777600,2666666,-1284266
2026-01-22,Gerai D,20000,103,2060000,741600,2666666,-1348266
2026-01-23,Gerai D,20000,110,2200000,792000,2666666,-1258666
2026-01-24,Gerai D,20000,137,2740000,986400,2666666,-913066
2026-01-25,Gerai D,20000,138,2760000,993600,2666666,-900266
2026-01-26,Gerai D,20000,105,2100000,756000,2666666,-1322666
2026-01-27,Gerai D,20000,105,2100000,756000,2666666,-1322666
2026-01-28,Gerai D,20000,103,2060000,741600,2666666,-1348266
2026-01-29,Gerai D,20000,105,2100000,756000,2666666,-1322666
2026-01-30,Gerai D,20000,107,2140000,770400,2666666,-1297066
2026-01-31,Gerai D,20000,166,3320000,1195200,2666666,-541866
2026-02-01,Gerai D,20000,159,3180000,1144800,2666666,-631466
2026-02-02,Gerai D,20000,128,2560000,921600,2666666,-1028266
2026-02-03,Gerai D,20000,127,2540000,914400,2666666,-1041066
2026-02-04,Gerai D,20000,137,2740000,986400,2666666,-913066
2026-02-05,Gerai D,20000,127,2540000,914400,2666666,-1041066
2026-02-06,Gerai D,20000,134,2680000,964800,2666666,-951466
2026-02-07,Gerai D,20000,179,3580000,1288800,2666666,-375466
2026-02-08,Gerai D,20000,161,3220000,1159200,2666666,-605866
2026-02-09,Gerai D,20000,134,2680000,964800,2666666,-951466
2026-02-10,Gerai D,20000,146,2920000,1051200,2666666,-797866
2026-02-11,Gerai D,20000,132,2640000,950400,2666666,-977066
2026-02-12,Gerai D,20000,140,2800000,1008000,2666666,-874666
2026-02-13,Gerai D,20000,128,2560000,921600,2666666,-1028266
2026-02-14,Gerai D,20000,184,3680000,1324800,2666666,-311466
2026-02-15,Gerai D,20000,181,3620000,1303200,2666666,-349866
2026-02-16,Gerai D,20000,141,2820000,1015200,2666666,-861866
2026-02-17,Gerai D,20000,130,2600000,936000,2666666,-1002666
2026-02-18,Gerai D,20000,146,2920000,1051200,2666666,-797866
2026-02-19,Gerai D,20000,129,2580000,928800,2666666,-1015466
2026-02-20,Gerai D,20000,136,2720000,979200,2666666,-925866
2026-02-21,Gerai D,20000,177,3540000,1274400,2666666,-401066
2026-02-22,Gerai D,20000,174,3480000,1252800,2666666,-439466
2026-02-23,Gerai D,20000,143,2860000,1029600,2666666,-836266
2026-02-24,Gerai D,20000,143,2860000,1029600,2666666,-836266
2026-02-25,Gerai D,20000,136,2720000,979200,2666666,-925866
2026-02-26,Gerai D,20000,137,2740000,986400,2666666,-913066
2026-02-27,Gerai D,20000,144,2880000,1036800,2666666,-823466
2026-02-28,Gerai D,20000,180,3600000,1296000,2666666,-362666
2026-03-01,Gerai D,20000,183,3660000,1317600,2666666,-324266
2026-03-02,Gerai D,20000,172,3440000,1238400,2666666,-465066
2026-03-03,Gerai D,20000,176,3520000,1267200,2666666,-413866
2026-03-04,Gerai D,20000,178,3560000,1281600,2666666,-388266
2026-03-05,Gerai D,20000,176,3520000,1267200,2666666,-413866
2026-03-06,Gerai D,20000,166,3320000,1195200,2666666,-541866
2026-03-07,Gerai D,20000,212,4240000,1526400,2666666,46934
2026-03-08,Gerai D,20000,202,4040000,1454400,2666666,-81066
2026-03-09,Gerai D,20000,186,3720000,1339200,2666666,-285866
2026-03-10,Gerai D,20000,186,3720000,1339200,2666666,-285866
2026-03-11,Gerai D,20000,180,3600000,1296000,2666666,-362666
2026-03-12,Gerai D,20000,168,3360000,1209600,2666666,-516266
2026-03-13,Gerai D,20000,186,3720000,1339200,2666666,-285866
2026-03-14,Gerai D,20000,219,4380000,1576800,2666666,136534
2026-03-15,Gerai D,20000,206,4120000,1483200,2666666,-29866
2026-03-16,Gerai D,20000,167,3340000,1202400,2666666,-529066
2026-03-17,Gerai D,20000,184,3680000,1324800,2666666,-311466
2026-03-18,Gerai D,20000,162,3240000,1166400,2666666,-593066
2026-03-19,Gerai D,20000,162,3240000,1166400,2666666,-593066
2026-03-20,Gerai D,20000,181,3620000,1303200,2666666,-349866
2026-03-21,Gerai D,20000,220,4400000,1584000,2666666,149334
2026-03-22,Gerai D,20000,208,4160000,1497600,2666666,-4266
2026-03-23,Gerai D,20000,160,3200000,1152000,2666666,-618666
2026-03-24,Gerai D,20000,161,3220000,1159200,2666666,-605866
2026-03-25,Gerai D,20000,182,3640000,1310400,2666666,-337066
2026-03-26,Gerai D,20000,187,3740000,1346400,2666666,-273066
2026-03-27,Gerai D,20000,175,3500000,1260000,2666666,-426666
2026-03-28,Gerai D,20000,223,4460000,1605600,2666666,187734
2026-03-29,Gerai D,20000,207,4140000,1490400,2666666,-17066
2026-03-30,Gerai D,20000,176,3520000,1267200,2666666,-413866
2026-03-31,Gerai D,20000,160,3200000,1152000,2666666,-618666
2026-01-01,Gerai E,15000,165,2475000,1039500,800000,635500
2026-01-02,Gerai E,15000,154,2310000,970200,800000,539800
2026-01-03,Gerai E,15000,213,3195000,1341900,800000,1053100
2026-01-04,Gerai E,15000,193,2895000,1215900,800000,879100
2026-01-05,Gerai E,15000,166,2490000,1045800,800000,644200
2026-01-06,Gerai E,15000,153,2295000,963900,800000,531100
2026-01-07,Gerai E,15000,162,2430000,1020600,800000,609400
2026-01-08,Gerai E,15000,172,2580000,1083600,800000,696400
2026-01-09,Gerai E,15000,171,2565000,1077300,800000,687700
2026-01-10,Gerai E,15000,217,3255000,1367100,800000,1087900
2026-01-11,Gerai E,15000,200,3000000,1260000,800000,940000
2026-01-12,Gerai E,15000,175,2625000,1102500,800000,722500
2026-01-13,Gerai E,15000,164,2460000,1033200,800000,626800
2026-01-14,Gerai E,15000,176,2640000,1108800,800000,731200
2026-01-15,Gerai E,15000,153,2295000,963900,800000,531100
2026-01-16,Gerai E,15000,164,2460000,1033200,800000,626800
2026-01-17,Gerai E,15000,221,3315000,1392300,800000,1122700
2026-01-18,Gerai E,15000,218,3270000,1373400,800000,1096600
2026-01-19,Gerai E,15000,166,2490000,1045800,800000,644200
2026-01-20,Gerai E,15000,167,2505000,1052100,800000,652900
2026-01-21,Gerai E,15000,169,2535000,1064700,800000,670300
2026-01-22,Gerai E,15000,168,2520000,1058400,800000,661600
2026-01-23,Gerai E,15000,157,2355000,989100,800000,565900
2026-01-24,Gerai E,15000,210,3150000,1323000,800000,1027000
2026-01-25,Gerai E,15000,197,2955000,1241100,800000,913900
2026-01-26,Gerai E,15000,162,2430000,1020600,800000,609400
2026-01-27,Gerai E,15000,175,2625000,1102500,800000,722500
2026-01-28,Gerai E,15000,173,2595000,1089900,800000,705100
2026-01-29,Gerai E,15000,164,2460000,1033200,800000,626800
2026-01-30,Gerai E,15000,166,2490000,1045800,800000,644200
2026-01-31,Gerai E,15000,283,4245000,1782900,800000,1662100
2026-02-01,Gerai E,15000,253,3795000,1593900,800000,1401100
2026-02-02,Gerai E,15000,221,3315000,1392300,800000,1122700
2026-02-03,Gerai E,15000,204,3060000,1285200,800000,974800
2026-02-04,Gerai E,15000,211,3165000,1329300,800000,1035700
2026-02-05,Gerai E,15000,222,3330000,1398600,800000,1131400
2026-02-06,Gerai E,15000,218,3270000,1373400,800000,1096600
2026-02-07,Gerai E,15000,245,3675000,1543500,800000,1331500
2026-02-08,Gerai E,15000,254,3810000,1600200,800000,1409800
2026-02-09,Gerai E,15000,194,2910000,1222200,800000,887800
2026-02-10,Gerai E,15000,213,3195000,1341900,800000,1053100
2026-02-11,Gerai E,15000,194,2910000,1222200,800000,887800
2026-02-12,Gerai E,15000,195,2925000,1228500,800000,896500
2026-02-13,Gerai E,15000,221,3315000,1392300,800000,1122700
2026-02-14,Gerai E,15000,258,3870000,1625400,800000,1444600
2026-02-15,Gerai E,15000,277,4155000,1745100,800000,1609900
2026-02-16,Gerai E,15000,203,3045000,1278900,800000,966100
2026-02-17,Gerai E,15000,214,3210000,1348200,800000,1061800
2026-02-18,Gerai E,15000,223,3345000,1404900,800000,1140100
2026-02-19,Gerai E,15000,215,3225000,1354500,800000,1070500
2026-02-20,Gerai E,15000,226,3390000,1423800,800000,1166200
2026-02-21,Gerai E,15000,273,4095000,1719900,800000,1575100
2026-02-22,Gerai E,15000,251,3765000,1581300,800000,1383700
2026-02-23,Gerai E,15000,198,2970000,1247400,800000,922600
2026-02-24,Gerai E,15000,225,3375000,1417500,800000,1157500
2026-02-25,Gerai E,15000,202,3030000,1272600,800000,957400
2026-02-26,Gerai E,15000,224,3360000,1411200,800000,1148800
